side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
32,1024,39,flat,heat,3092,1,8561,1,40000,0.5,0.327,4,1984,12368,34244,
32,1024,39,flat,pushsum,1944,1,5394,1,40000,0.5,0.21,4,1984,7776,21576,
32,1024,39,flat,gossip,1983,1,5511,1,40000,0.5,0.223,4,1984,7932,22044,
32,1024,39,curved,heat,124,1,396,1,40000,0.5,0.153,306,1988,37944,121176,
32,1024,39,curved,pushsum,104,1,316,1,40000,0.5,0.132,306,1988,31824,96696,
32,1024,39,curved,gossip,5261,1,15159,1,40000,0.5,3.631,306,1988,1609866,4638654,
32,1024,39,localrand,heat,3387,1,10283,1,40000,0.5,3.063,10,1985,33870,102830,
32,1024,39,localrand,pushsum,2221,1,6590,1,40000,0.5,1.909,10,1985,22210,65900,
32,1024,39,localrand,gossip,2913,1,8561,1,40000,0.5,1.824,10,1985,29130,85610,
32,1024,34,flat,heat,2891,1,8359,1,40000,0.5,1.125,4,1984,11564,33436,
32,1024,34,flat,pushsum,1839,1,5289,1,40000,0.5,0.916,4,1984,7356,21156,
32,1024,34,flat,gossip,1875,1,5403,1,40000,0.5,0.708,4,1984,7500,21612,
32,1024,34,curved,heat,166,1,458,1,40000,0.5,0.165,272,1986,45152,124576,
32,1024,34,curved,pushsum,125,1,326,1,40000,0.5,0.119,272,1986,34000,88672,
32,1024,34,curved,gossip,5561,1,14622,1,40000,0.5,3.331,272,1986,1512592,3977184,
32,1024,34,localrand,heat,3988,1,11565,1,40000,0.5,2.678,10,1984,39880,115650,
32,1024,34,localrand,pushsum,2232,1,6893,1,40000,0.5,1.812,10,1984,22320,68930,
32,1024,34,localrand,gossip,2958,1,9036,1,40000,0.5,1.78,10,1984,29580,90360,
32,1024,36,flat,heat,2926,1,8394,1,40000,0.5,1.903,4,1984,11704,33576,
32,1024,36,flat,pushsum,1870,1,5319,1,40000,0.5,1.303,4,1984,7480,21276,
32,1024,36,flat,gossip,1907,1,5435,1,40000,0.5,0.893,4,1984,7628,21740,
32,1024,36,curved,heat,161,1,449,1,40000,0.5,0.184,274,1988,44114,123026,
32,1024,36,curved,pushsum,118,1,297,1,40000,0.5,0.083,274,1988,32332,81378,
32,1024,36,curved,gossip,4968,1,12555,1,40000,0.5,2.835,274,1988,1361232,3440070,
32,1024,36,localrand,heat,3155,1,10296,1,40000,0.5,1.91,10,1986,31550,102960,
