side,seed,family,nodes,edges,connected,mean_deg,max_deg,diam,mean_path_len,gromov_delta_max,delta_over_diam,lambda2_norm,build_secs,note
22,32,shuffled,484,924,1,3.8182,224,8,3.3042,1.0,0.125,0.08714381,6.15,connected_double_edge_swap
22,32,rreg4,484,968,1,4.0,4,8,4.9691,2.5,0.3125,0.14531102,6.15,rreg4_try0
22,33,flat,484,924,1,3.8182,4,42,14.6667,13.0,0.3095,0.00545551,6.03,
22,33,curved,484,926,1,3.8264,117,9,3.8353,1.0,0.1111,0.07793632,6.03,
22,33,shuffled,484,926,1,3.8264,117,10,3.7932,1.5,0.15,0.09109512,6.03,connected_double_edge_swap
22,33,rreg4,484,968,1,4.0,4,8,4.9647,3.0,0.375,0.1422208,6.03,rreg4_try0
22,34,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,6.77,
22,34,curved,484,926,1,3.8264,171,9,3.5,1.0,0.1111,0.07486906,6.77,
22,34,shuffled,484,926,1,3.8264,171,10,3.5496,1.0,0.1,0.09804567,6.77,connected_double_edge_swap
22,34,rreg4,484,968,1,4.0,4,8,4.9866,2.5,0.3125,0.13820221,6.77,rreg4_try0
22,35,flat,484,924,1,3.8182,4,42,14.6667,13.0,0.3095,0.00545551,6.53,
22,35,curved,484,924,1,3.8182,87,11,4.2324,2.0,0.1818,0.05233391,6.53,
22,35,shuffled,484,924,1,3.8182,87,10,3.8895,1.5,0.15,0.09271806,6.53,connected_double_edge_swap
22,35,rreg4,484,968,1,4.0,4,8,4.9773,2.5,0.3125,0.14539275,6.53,rreg4_try0
22,36,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,6.65,
22,36,curved,484,926,1,3.8264,92,10,4.0001,1.5,0.15,0.07108874,6.65,
22,36,shuffled,484,926,1,3.8264,92,10,3.897,1.0,0.1,0.07816426,6.65,connected_double_edge_swap
22,36,rreg4,484,968,1,4.0,4,8,4.9736,2.5,0.3125,0.13811584,6.65,rreg4_try0
22,37,flat,484,924,1,3.8182,4,42,14.6667,15.0,0.3571,0.00545551,6.51,
22,37,curved,484,924,1,3.8182,207,8,3.3746,1.0,0.125,0.08699856,6.51,
22,37,shuffled,484,924,1,3.8182,207,9,3.3968,1.0,0.1111,0.08398576,6.51,connected_double_edge_swap
22,37,rreg4,484,968,1,4.0,4,8,4.985,2.5,0.3125,0.14023717,6.51,rreg4_try0
22,38,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,7.02,
22,38,curved,484,925,1,3.8223,95,10,4.0324,1.0,0.1,0.07085754,7.02,
22,38,shuffled,484,925,1,3.8223,95,10,3.8051,1.5,0.15,0.09900744,7.02,connected_double_edge_swap
22,38,rreg4,484,968,1,4.0,4,8,4.9714,2.5,0.3125,0.13901114,7.02,rreg4_try0
22,39,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,6.02,
22,39,curved,484,926,1,3.8264,104,10,3.9043,1.0,0.1,0.06780055,6.02,
22,39,shuffled,484,926,1,3.8264,104,10,3.7892,1.5,0.15,0.09735192,6.02,connected_double_edge_swap
22,39,rreg4,484,968,1,4.0,4,8,4.9668,2.5,0.3125,0.14958937,6.02,rreg4_try0
22,40,flat,484,924,1,3.8182,4,42,14.6667,16.0,0.381,0.00545551,6.32,
22,40,curved,484,924,1,3.8182,82,11,4.2049,1.5,0.1364,0.05339268,6.32,
22,40,shuffled,484,924,1,3.8182,82,10,3.9254,1.5,0.15,0.09542443,6.32,connected_double_edge_swap
22,40,rreg4,484,968,1,4.0,4,8,4.9763,2.5,0.3125,0.13841321,6.32,rreg4_try0
22,41,flat,484,924,1,3.8182,4,42,14.6667,16.0,0.381,0.00545551,6.88,
22,41,curved,484,925,1,3.8223,207,9,3.3911,2.0,0.2222,0.07592854,6.88,
22,41,shuffled,484,925,1,3.8223,207,8,3.4229,1.0,0.125,0.07614882,6.88,connected_double_edge_swap
22,41,rreg4,484,968,1,4.0,4,8,4.9905,2.5,0.3125,0.14084173,6.88,rreg4_try0
32,30,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,27.83,
32,30,curved,1024,1988,1,3.8828,144,12,4.5058,1.5,0.125,0.04021476,27.83,
32,30,shuffled,1024,1988,1,3.8828,144,10,4.1683,1.5,0.15,0.11093149,27.83,connected_double_edge_swap
32,30,rreg4,1024,2048,1,4.0,4,9,5.654,3.0,0.3333,0.13605256,27.83,rreg4_try0
32,31,flat,1024,1984,1,3.875,4,62,21.3333,19.0,0.3065,0.00252477,28.92,
32,31,curved,1024,1987,1,3.8809,162,12,4.5118,2.0,0.1667,0.03494962,28.92,
32,31,shuffled,1024,1987,1,3.8809,162,11,4.1477,1.5,0.1364,0.06614179,28.92,connected_double_edge_swap
32,31,rreg4,1024,2048,1,4.0,4,9,5.663,3.0,0.3333,0.14013897,28.92,rreg4_try0
32,32,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,29.39,
32,32,curved,1024,1987,1,3.8809,219,9,4.1003,1.0,0.1111,0.05674619,29.39,
32,32,shuffled,1024,1987,1,3.8809,219,10,4.016,1.0,0.1,0.08878884,29.39,connected_double_edge_swap
32,32,rreg4,1024,2048,1,4.0,4,9,5.6654,2.5,0.2778,0.13359695,29.39,rreg4_try0
32,33,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,30.94,
